Keyword,Title,Date,Location,Icon,Link
,BWI Indoor League 2018-2019,"Nov 24, 2018 - Feb 10, 2019","Catonsville, MD",,Public/Results/Tournament.aspx?IDTournament=h20181103234753749e6da566ff14b47
,The Bank of Missouri 2019 POSL Spring Classic,"May 11 - 12, 2019","Perryville, MO",,Public/Results/Tournament.aspx?IDTournament=h201904011523478600a2a29aeb7d340
,Diamonds Are My Valentine,"Feb 16, 2019","Douglas, GA",,Public/Results/Tournament.aspx?IDTournament=h201901181859446489802f6b267254e
,12U Mill City Spring Fling,"Apr 13 - 14, 2019","Chelmsford, MA • Tyngsboro, MA",,Public/Results/Tournament.aspx?IDTournament=h201903272025367204b7fdf2d51ce44
,Elite 3 7v7 Showcase,"Apr 6, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201904022319031385c84d20b36eb47
,Spring MADNESS Play Day 2019 presented by MDLX Events,"Mar 17, 2019","Bethesda, MD • Potomac, MD",,Public/Results/Tournament.aspx?IDTournament=h201903061726553642e17b036242247
,Academy East -- Spring 2019,"Mar 30 - Jun 2, 2019","Bettendorf, IA • Dubuque, IA • Iowa City, IA • Marion, IA",,Public/Results/Tournament.aspx?IDTournament=h20181219170126914c279ed6a36d348
,PGF Super Select 14U/12U Showdown,"May 10 - 12, 2019","North Ridgevile, OH",,Public/Results/Tournament.aspx?IDTournament=h201810171746191893ec1de36d85548
,11U Mill City Spring Fling,"Apr 27 - 28, 2019","Tyngsborough, MA",,Public/Results/Tournament.aspx?IDTournament=h2019041700555269089bbe174c82f48
,Music City Showdown,"Mar 23, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190319222230002dc0538145fa14e
,March Kickoff Invitational,"Mar 9 - 10, 2019","Boyds, MD • Potomac, MD",,Public/Results/Tournament.aspx?IDTournament=h20190307014742262c4fa6ee5584f48
," ISL, Spring 2019 (11/12 East)","Mar 30 - Jun 2, 2019","Bettendorf, IA • Iowa City, IA • Marion, IA • Waterloo, IA",,Public/Results/Tournament.aspx?IDTournament=h2018121915410611372f84dca39134b
,PGF Super Select 10U Showdown ,"May 3 - 5, 2019","North Ridgeville, OH",,Public/Results/Tournament.aspx?IDTournament=h20180920163715937a1d05784ec0d4c
,Mill City 10U Spring Fling,"May 4 - 5, 2019","Tyngsborough, MA",,Public/Results/Tournament.aspx?IDTournament=h2019043005252728433dc585167824e
,Spring Sun Flag Football ,"Apr 7 - Jun 9, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201902041840433637428f3ce6ced46
,Upstate Winter Shootout,"Feb 2 - 3, 2019","Macedon, NY • Rochester, NY",,Public/Results/Tournament.aspx?IDTournament=h2019011019125783060653a0bd79643
,ISL Rec NORTHEAST -- Spring 2019,"Apr 6 - Jun 2, 2019","Clear Lake, IA • Decorah, IA • Denver, IA • Elgin, IA • Fredericksburg, IA • New Hampton, IA • Oelwein, IA • Postville, IA • Sumner, IA • Tripoli, IA • Waverly, IA • West Union, IA",,Public/Results/Tournament.aspx?IDTournament=h2018121920225022575f7f9a5baa84f
,Junior Olympic Series  - Emerald City Classic,"Mar 16 - 17, 2019","Dublin, GA",,Public/Results/Tournament.aspx?IDTournament=h2018120602425496389516631df0b4f
,2019 12U April Classic,"Apr 5 - 7, 2019","Northborough, MA",,Public/Results/Tournament.aspx?IDTournament=h201811011841421323b006d3d11874a
,Spring Mon 5-Man Flag Football,"Apr 8 - Jun 10, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190204185547767e6b8e9bbda0f49
,Raleigh BoxFest 2019,"Feb 3, 2019","Apex, NC",,Public/Results/Tournament.aspx?IDTournament=h201810102023019721f280f99165649
,CVSC 2019 Spring Schedule,"Apr 6 - May 30, 2019","Dike, IA • Dysart, IA • Grundy Center, IA • Independence, IA • Janesville, IA • Jesup, IA • LaPorte City, IA • Parkersburg, IA • Reinbeck, IA • Traer, IA • Waterloo, IA",,Public/Results/Tournament.aspx?IDTournament=h20190325141530445dd289adb557343
,Rings In The Spring - ,"Apr 13, 2019","Dublin, GA",,Public/Results/Tournament.aspx?IDTournament=h201812060420594975a5db82d90fb4d
,Spring Thurs Co-Ed Flag Football,"Apr 11 - Jun 6, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190204190048273d3f3714264af4f
,2019 Viking Games,"Feb 23, 2019","Bermuda Run, NC",,Public/Results/Tournament.aspx?IDTournament=h201902180258596108c0455e191e449
,ISL Rec CENTRAL -- Spring 2019,"Apr 6 - Jun 9, 2019","Adel, IA • Alleman, IA • Altoona, IA • Ames, IA • Ankeny, IA • Bondurant, IA • Boone, IA • Carlisle, IA • Colfax, IA • Colo, IA • Creston, IA • Des Moines, IA • Earlham, IA • Fort Dodge, IA • Gilbert, IA • Grimes, IA • Grinnell, IA • Huxley, IA • Indianola, IA • Iowa Falls, IA • Johnston, IA • Knoxville, IA • Madrid, IA • Marshalltown, IA • Maxwell, IA • Nevada, IA • Newton, IA • Norwalk, IA • Oskaloosa, IA • Ottumwa, IA • Panora, IA • Pella, IA • Perry, IA • Pleasant Hill, IA • Polk City, IA • Prairie City, IA • Slater, IA • Stuart, IA • Urbandale, IA • Van Meter, IA • Waukee, IA • Webster City, IA • West Des Moines, IA • Windsor Heights, IA • Winterset, IA • Zearing, IA",,Public/Results/Tournament.aspx?IDTournament=h20181219191833745bdf95272a9b040
,2019 14U May Classic,"May 3 - 5, 2019","Northborough, MA",,Public/Results/Tournament.aspx?IDTournament=h201811021505536291853cea4eb0d49
,AFFL Qualifier powered by Mid State Sports,"Mar 2 - 3, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201902191341420663206cc63fe3b4f
,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41
,BOYS:  Iowa Soccer 2019 Youth Indoor Championships,"Feb 2 - 3, 2019","Cedar Falls, IA",,Public/Results/Tournament.aspx?IDTournament=h20181005160351733a7acf0bda4ad46
,USA Softball National Qualifier,"Apr 6 - 7, 2019","Dublin, GA",,Public/Results/Tournament.aspx?IDTournament=h2019020420385067870d07debe15d48
,War at the Shore Spring Opener,"Apr 6 - 7, 2019","niantic, CT • Waterford, CT",,Public/Results/Tournament.aspx?IDTournament=h201810041517543870dad78f306c64e
,NFA7v7 Mid-America Regional,"Apr 13 - 14, 2019","Hartford, KY",,Public/Results/Tournament.aspx?IDTournament=h20190319205446413b6829d1fde9442
,Team Training 2019,"Mar 10 - 29, 2019","Altamonte Springs, FL • Kissemmee, FL • Mt Dora, FL • Orlando, FL • Sandford, FL • Sanford, FL • tb a, FL • TBA, FL",,Public/Results/Tournament.aspx?IDTournament=h20181221003738257ec08d880cc7f4f
,Altoona Soccer Club Spring 2019,"Apr 6 - Jun 2, 2019","altoona, IA • Bondurant, IA • carlisle, IA • Colfax, ia • Des Moines, IA • Grinnell, IA • Knoxville, IA • Newton, IA • Pella, IA • Pleasant Hill, IA • Polk City, IA • PRAIRIE CITY, IA",,Public/Results/Tournament.aspx?IDTournament=h2019021416513084191f3abd3cb9c45
,5th Annual IceBreaker,"Feb 23, 2019","Dublin, GA",,Public/Results/Tournament.aspx?IDTournament=h20181116042714106026d3cda0e3040
,War at the Shore Spring Swing,"Apr 27 - 28, 2019","niantic, CT",,Public/Results/Tournament.aspx?IDTournament=h20181004172630608a55f8eb7157741
,2019 All-American 7on7 Spring Passing League,"Apr 7 - May 27, 2019","Barrington, IL • Des Plaines, IL",,Public/Results/Tournament.aspx?IDTournament=h20190402161448495a6682d26dd1044
,Spring JV Faceoff Classic,"Mar 2, 2019","Immokalee, FL",,Public/Results/Tournament.aspx?IDTournament=h201811011215064563cea774b8e7c4d
,CISL Spring 2019,"Apr 6 - Jun 1, 2019","Ames, IA • Colo, IA • Gilbert, IA • Hubbard, IA • Iowa Falls, IA • Maxwell, IA • Nevada, IA • New Providence, IA • Slater, IA",,Public/Results/Tournament.aspx?IDTournament=h201903262151048812314320a41bb4e
,2019 Future Stars 10u,"Apr 6 - 7, 2019","Bucyrus, OH • Galion, OH • Ontario, OH",,Public/Results/Tournament.aspx?IDTournament=h20180908203543105a712ccae5b684c
,Mid May Classic,"May 11 - 12, 2019","niantic, CT",,Public/Results/Tournament.aspx?IDTournament=h201810051418324845a504a3508e041
,Top Gun Chicago 7v7,"Mar 30 - 31, 2019","Lake Barrington, IL",,Public/Results/Tournament.aspx?IDTournament=h20190124194007567ff975a647e0542
,2019 NGLL Spring Kickoff,"Mar 9 - 10, 2019","Kissimmee, FL",,Public/Results/Tournament.aspx?IDTournament=h201902041507566900605798844e242
,Academy Central -- Spring 2019,"Apr 6 - Jun 2, 2019","Altoona, IA • Ankeny, IA • Des Moines, IA • Grimes, IA • Indianola, IA • Johnston, IA • Norwalk, IA • Pleasant Hill, IA • Urbandale, IA • Waukee, IA • West Des Moines, IA",,Public/Results/Tournament.aspx?IDTournament=h201812191745472924bd7bebcfd154b
,2019 Future Stars 12u,"Apr 13 - 14, 2019","Bucyrus, OH • Galion, OH • Shelby, OH",,Public/Results/Tournament.aspx?IDTournament=h201809082023233195908769261954b
,Around The Horn For Autism,"Apr 26 - 28, 2019","Bolton, CT • East Hartford, CT • Manchester, CT",,Public/Results/Tournament.aspx?IDTournament=h2018092912390210375c1d74e8e7d4c
,NFA7v7 Midwest Regional,"Apr 27 - 28, 2019","Loves Park, IL",,Public/Results/Tournament.aspx?IDTournament=h20190107175613643607f851c16e846
,2019 Charlotte Shootout,"Apr 6, 2019","Matthews, NC",,Public/Results/Tournament.aspx?IDTournament=h20190326113508800be639c33e58d41
,Central Iowa Coed Soccer League (CICS) Spring 2019,"Mar 30 - Jun 9, 2019","Altoona, IA • Ames, IA • Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190315014013347c8bb55fd335647
,PGF March Friendly,"Mar 16 - 17, 2019","Gainesville, GA • Jefferson, GA • Lawrenceville, GA",,Public/Results/Tournament.aspx?IDTournament=h20190312170315121ccc3d8b74c2c41
,NYBC New England Qualifier 10u/11u/12u,"May 4 - 5, 2019","East Hartford, CT • Eat Hartford, CT",,Public/Results/Tournament.aspx?IDTournament=h20180828183244365a4474722b57c46
,"Winter Bowl Classic  2019""  Ages 5u-18u","Feb 2 - 3, 2019","Covington, LA",,Public/Results/Tournament.aspx?IDTournament=h20190110184049829cdf4b6e4de564d
,2019 Carolina Lacrosse Association Rec League,"Mar 3 - May 8, 2019","Charlotte, NC • Cornelius, NC • Matthews, NC",,Public/Results/Tournament.aspx?IDTournament=h20190212233816896d9fb999b342a4c
,"Austin, TX (Bastrop)","Mar 16, 2019","Bastrop, TX",,Public/Results/Tournament.aspx?IDTournament=h20190211160619070882ae5e700484b
,Spring Championship in the Smokies,"Apr 27 - 28, 2019","Pigeon Forge, TN",,Public/Results/Tournament.aspx?IDTournament=h201904251858105021af13efd875544
,"CT Sportsplex ""AAU Northeast National Qualifier""","Apr 5 - 7, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190214171906085af0c80ddbfe04d
," Winter Bowl Shoot-Out 2019""  ages 5u-18u","Feb 9 - 10, 2019","Metairie, LA",,Public/Results/Tournament.aspx?IDTournament=h20190110190821417303af44c670749
,NGLL Florida Regional Qualifier,"Jan 27 - Apr 7, 2019","Davenport, FL",,Public/Results/Tournament.aspx?IDTournament=h20190119185039280756bb9131e7541
,"San Antonio, TX (winter)","Feb 2, 2019","San Antonio, TX",,Public/Results/Tournament.aspx?IDTournament=h20181106194258550dd4bd12e27aa43
,The Georgia Oaks,"Apr 27 - 28, 2019","Cumming, GA • Gainesville, GA • Hoschton, GA",,Public/Results/Tournament.aspx?IDTournament=h2018112715460665261bd2feb24a647
,"CT Sportsplex ""Let The Games Begin""","Apr 12 - 14, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190214172650319c5ebf9651dd44b
,"Presidents Day Let it Fly  2019""  ages 5u-18u","Feb 16 - 17, 2019","Metairie, LA",,Public/Results/Tournament.aspx?IDTournament=h2019011019212630997a6ed0aad044e
,6th Battle Of The Bay,"Apr 13 - 14, 2019","Tampa, FL",,Public/Results/Tournament.aspx?IDTournament=h2019040901374946480233cb83cb149
,ADC Winter 1 COED League,"Nov 12, 2018 - Mar 4, 2019","Spanish Fork, UT",,Public/Results/Tournament.aspx?IDTournament=h201811072140234964f99a0b1bd084a
,PGF Spring Super 6,"Apr 13 - 14, 2019","Cumming, GA • Gainesville, GA • Hoschton, GA",,Public/Results/Tournament.aspx?IDTournament=h20181213135903477f9d997ed5fff44
,"CT Sportsplex ""The Spring Blossom""","Apr 26 - 28, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190214172829161baafc4e7c25c40
,"2019 ""BATTLE IN THE BOOT 7on7 SHOWCASE","May 11, 2019","Baton Rouge, LA",,Public/Results/Tournament.aspx?IDTournament=h201904190254547363fd55f1e13c54c
,2019 Ohio Girls Lacrosse Championships,"May 11 - 19, 2019","Canton, OH",,Public/Results/Tournament.aspx?IDTournament=h2018111901001876195015f540e4d4a
,PGF Icebreaker,"Feb 23, 2019","Gainesville, GA",,Public/Results/Tournament.aspx?IDTournament=h20190104141228848ae25c94f7e3e42
,"CT Sportsplex ""AAU Northeast Champions""","May 3 - 5, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h2019021417295962434772daecf0c45
,MCFFU World Championships XIII,"Apr 27 - 28, 2019","Minneapolis, AR",,Public/Results/Tournament.aspx?IDTournament=h20190304164451861f07c3427211d43
,Hudson Laxfest 2019 - Saturday (G3/4 & 5/6),"May 4, 2019","Hudson, OH",,Public/Results/Tournament.aspx?IDTournament=h20190415235617696555fe85e0ddf4f
,PGF March Madness,"Mar 23 - 24, 2019","Acworth, GA • Canton, GA • Gainesville, GA • Woodstock, GA",,Public/Results/Tournament.aspx?IDTournament=h201811271503142285e49be658c284e
,2019 NEW CASTLE REC BASEBALL,"Apr 6 - Jun 15, 2019","Chappaqua, NY • Millwood, NY",,Public/Results/Tournament.aspx?IDTournament=h201903181423218364062fbaa8ce94a
,WATCH THE THRONE,"Mar 30 - 31, 2019","Overland Park, KS",,Public/Results/Tournament.aspx?IDTournament=h201903250440249249c19d711f4f545
,Hudson Laxfest 2019 - Sunday (B3/4 & 7/8),"May 5, 2019","Hudson, OH",,Public/Results/Tournament.aspx?IDTournament=h201904192115110329028afe8bd2641
,ADC Session 2 Youth League,"Jan 10 - Oct 20, 2019","Spanish Fork, UT",,Public/Results/Tournament.aspx?IDTournament=h20181228040431451c682280ecfdf48
,Bunny Hop,"Apr 20, 2019","Gainesville, GA",,Public/Results/Tournament.aspx?IDTournament=h20190102192413459cca024ccf43f49
,45 SOUTH SHOWDOWN,"Apr 27, 2019","League City, TX",,Public/Results/Tournament.aspx?IDTournament=h2019031000232412764e00103765d4a
,22nd Annual Baggataway Invitational,"Apr 27 - 28, 2019","Medina, OH",,Public/Results/Tournament.aspx?IDTournament=h2019012217441208587783737469c42
,Spring Break Bash,"Mar 30, 2019","Gainesville, GA",,Public/Results/Tournament.aspx?IDTournament=h20190311114838266684dbcfba6374b
,Space Jam 2,"Jul 19, 2018 - Jul 21, 2019","Madison, NJ • Minneapolis, MN • Stirling, NJ",,Public/Results/Tournament.aspx?IDTournament=h20180601155815173230833dcf30c40
,Endzone7on7 Battle of Texas (Houston),"Mar 9 - 10, 2019","The Woodlands, TX",,Public/Results/Tournament.aspx?IDTournament=h2019012217321189621387613ff4d46
,Midwest Classic 2019,"Feb 16 - 17, 2019","Columbus, OH",,Public/Results/Tournament.aspx?IDTournament=h2018110815173070002c38dd8c25542
,ADC Spring COED,"Mar 25 - Jun 3, 2019","Spanish Fork, UT",,Public/Results/Tournament.aspx?IDTournament=h201903222209422984a3b09c7b06d4f
,Mothers Day Fun,"May 11, 2019","Gainesville, GA",,Public/Results/Tournament.aspx?IDTournament=h20180830170507119ab94c7b4c9a141
,First Pitch Classic 2019,"Mar 29 - 31, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h20190322150449755fc14ab11826643
,COAST 2 COAST,"Apr 6 - 7, 2019","Missouri City, TX",,Public/Results/Tournament.aspx?IDTournament=h201903092341256945e61b199206e40
,Resolute Shootout 2019,"May 4, 2019","Columbus,, OH",,Public/Results/Tournament.aspx?IDTournament=h20190412112032595dddcc9572e6e4f
,"Tempe, AZ","Apr 20, 2019","Tempe, AZ",,Public/Results/Tournament.aspx?IDTournament=h2019022520070086066f1d109e4a74e
,PGF Gwinnett Challenge,"Mar 9, 2019","Snellville, GA",,Public/Results/Tournament.aspx?IDTournament=h201812271653589554a055032c6c743
,Rock Invitational 2019,"Apr 19 - 20, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h201904151938241790b7863bcb0c642
,KB3 Houston Classic,"Apr 20, 2019","Houston, TX",,Public/Results/Tournament.aspx?IDTournament=h201903251448584344811ab4f60a342
,Presidents Day Ohio,"Feb 18, 2019","Lewis Center, OH",,Public/Results/Tournament.aspx?IDTournament=h20190213210550993fd302d5a020241
,Pioneer Rumble 4v4 Tournament,"May 11, 2019","Salem, OR",,Public/Results/Tournament.aspx?IDTournament=h20190211211549262bf1ca519c9d94d
,Legacy Fastpitch Rain or Shine Spring  Fling,"Apr 26 - 28, 2019","Brighton, MI",,Public/Results/Tournament.aspx?IDTournament=h20181220164627740a660f24469134a
,Spring Bash 2019,"Apr 27 - 28, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h201904221745421729c77de1bc0364e
,Sooner 7v7 Classic,"Mar 16 - 17, 2019","TULSA, OK",,Public/Results/Tournament.aspx?IDTournament=h2019022512000469962fca20efe8144
,Trilogy Great Lax Box Classic,"Feb 9 - 10, 2019","Canton, MI",,Public/Results/Tournament.aspx?IDTournament=h201901310231047382f45c42330df45
,Gatorade 5v5 - Boys West Regional,"Feb 9, 2019","San Monica, CA",,Public/Results/Tournament.aspx?IDTournament=h20190209034837701d02dfc3fb6ab4c
,Diamond Battle,"Mar 2 - 3, 2019","Acworth, GA • Canton, GA • Woodstock, GA",,Public/Results/Tournament.aspx?IDTournament=h201810261713152187c60c21fcaf04c
,Wood Bat Classic 2019,"May 3 - 5, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h20190430151212018e05b951b627349
,Fast Houston Classic (National 7v7),"Mar 2 - 3, 2019","Cypress, TX",,Public/Results/Tournament.aspx?IDTournament=h201902251049397523c51ef78f6774e
,Raider Rumble 2019,"Apr 12 - 13, 2019","Alpharetta, GA",,Public/Results/Tournament.aspx?IDTournament=h20190412015554574305cad5ef2a94e
,2019 AMERICA FUTSAL CHAMPIONSHIPS,"Feb 15 - 18, 2019","Menlo Park, CA",,Public/Results/Tournament.aspx?IDTournament=h20180724160351244d1bf09dde7264f
,Saginaw Bay Riverbrawl,"May 11 - 12, 2019","Saginaw, MI",,Public/Results/Tournament.aspx?IDTournament=h201711071528457032c3a392d57aa40
,2019  Mid-Atlantic Mayhem 10U Invitational @ Cherry Hill National,"May 8 - 12, 2019","Cherry Hill, New Jersey",,Public/Results/Tournament.aspx?IDTournament=h20181030193243518f20976e7f19f4d
,2019 Spring YMCA Spirit Flag Football,"Mar 28 - May 17, 2019","Lincoln, NE",,Public/Results/Tournament.aspx?IDTournament=h20190226203036294eaf36c2bc03b45
,2019 Roswell Lacrosse Tournament,"May 11 - 12, 2019","Roswell, GA",,Public/Results/Tournament.aspx?IDTournament=h2018061314322117706b637ad564643
,Pinnacle Premier League,"Jan 4 - Apr 28, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201808221609595797a841f55726548
,TPA March Kickoff,"Mar 2, 2019","Nicholasville, KY",,Public/Results/Tournament.aspx?IDTournament=h20190221222831901d3429cb5275b4c
,2019 South Jersey Warriors Spring Fling Tournament,"Apr 26 - 28, 2019","LOGAN TOWNSHIP, NJ • Swedesboro, Nj",,Public/Results/Tournament.aspx?IDTournament=h20190415130742171940f0a884c0543
,TRUE BUZZ RECRUITING TOURNAMENT,"Apr 13 - 14, 2019","Dallas, TX",,Public/Results/Tournament.aspx?IDTournament=h2019030112414088175031581af824d
,Big Blue,"Apr 27 - 28, 2019","Ann Arbor, MI",,Public/Results/Tournament.aspx?IDTournament=h2019031516332502011cbcd3aec604e
,Futsal League Session 1 Winter (COED),"Jan 4 - Mar 15, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180822163530626436ca04ec3e44a
,Friday Night Spring League,"Apr 12 - May 31, 2019","Cincinnati, OH",,Public/Results/Tournament.aspx?IDTournament=h20181215001830883fec3a35bbc6e43
,Philly Opener,"Mar 29 - 31, 2019","Newtown Square, PA",,Public/Results/Tournament.aspx?IDTournament=h20190325191819915a4274a9f71da47
,Elite 7evens Kansas Invitational,"Apr 20, 2019","Wichita, KS",,Public/Results/Tournament.aspx?IDTournament=h20190419170513243a97332fd1cec4a
,NGLL Midwest,"Apr 14 - May 19, 2019","Carol Stream, IL • Cincinnati, OH • crown point, IN • Evanston, IL",,Public/Results/Tournament.aspx?IDTournament=h201903081748023575709a10ed01247
,Sunday Spring League,"Apr 14 - Jun 2, 2019","Cincinnati, OH",,Public/Results/Tournament.aspx?IDTournament=h2018121500243786314d030cc07a649
,Test Tournament,"Mar 27 - 28, 2019","Test, TX",,Public/Results/Tournament.aspx?IDTournament=h20190326162951473888f720240b74b
,Honor the Game,"May 4, 2019","Midland, MI",,Public/Results/Tournament.aspx?IDTournament=h2019011117534425095be315352004f
,Adult League Session 2 Winter (COED),"Jan 9 - Mar 20, 2019",,,Public/Results/Tournament.aspx?IDTournament=h2018082216182115516bf33cb250743
,2019 Border Battle Eastern National Qualifier,"May 4 - 5, 2019","Dalton, GA",,Public/Results/Tournament.aspx?IDTournament=h2018111419154856539bd61744c2d4c
,Easter Showdown,"Apr 20, 2019","Emmaus, PA",,Public/Results/Tournament.aspx?IDTournament=h201811141437058030b7a81ca48f948
,"2019 ""GET AMBUSHED"" 7on7 SHOWDOWN","Apr 27, 2019","Fort Worth, TX",,Public/Results/Tournament.aspx?IDTournament=h201904100302245328d29e3a1251849
,BRAVEHEART 2019,"Apr 10 - 14, 2019","Louisville, KY",,Public/Results/Tournament.aspx?IDTournament=h201809182007067004be5ecb0cbf749
,Middle School State & Rustbuster,"Apr 13, 2019","Danville, KY • Frankfort, KY",,Public/Results/Tournament.aspx?IDTournament=h20190409011920650abfa60173e354c
,el Cindo de Mayo,"May 4 - 5, 2019","Emmaus, PA",,Public/Results/Tournament.aspx?IDTournament=h20181114185407832195d2fc46a7d44
,"PREMIER EVENTS TEXAS, NOCONA 7on7 PRIMETIME SPORTS TOC QUALIFIER (3 Games Guaranteed)","Mar 23, 2019","Nocona, TX",,Public/Results/Tournament.aspx?IDTournament=h20190113185016022b32aa3fb10754b
,2019 CHAMPIONS LEAGUE,"Mar 10 - May 18, 2019","Louisville, KY",,Public/Results/Tournament.aspx?IDTournament=h201903041824315605f9e1b5ec7404d
,Adult League Session 3 Spring (COED),"Apr 3 - May 29, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201808221647023510342cd5e964840
,  Scenic City 2019  Softball  Spring league schedule,"Apr 1 - May 14, 2019","Chattanooga, TN • Chickamauga, GA • Fort Oglethorpe, GA • Harrison, TN • Hixson, TN • Ooltewah, TN • Red Bank, TN • Ringgold, GA • Rock Springs, GA • Rossville, GA • Signal Mtn, TN • Soddy-Daisy, TN",,Public/Results/Tournament.aspx?IDTournament=h201902251951215263c5b296d21a846
,Hits for the Heart,"Feb 9 - 10, 2019","Wilkes-Barre, PA",,Public/Results/Tournament.aspx?IDTournament=h2018111516524074812d8061a19864d
,JMFA 2018 Season - Jeffco Midget Football,"Nov 30, 2018 - Feb 8, 2019","Arvada, CO • Aurora, CO • Brighton, CO • Broomfield, CO • Commerce City, CO • CONIFER, CO • Denver, CO • Englewood, CO • Evergreen, CO • Golden, CO • Henderson, CO • Lakewood, CO • LITTLETON, CO • Thornton, CO • Westminster, CO • Wheat Ridge, CO",,Public/Results/Tournament.aspx?IDTournament=h2018072114521809355df1ad3c0c14e
,King & Queen of the Hills 2019,"May 4 - 5, 2019","Ada, MI",,Public/Results/Tournament.aspx?IDTournament=h20190130003534002df10f60b006545
, Futsal League Session 2 Spring (COED),"Apr 5 - May 24, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180822164958833c0e3426ecfc64c
,"10th Annual Chick-fil-A ""Duel on the Diamond"" SOFTBALL","Apr 27 - 28, 2019","Ringgold, Ga",,Public/Results/Tournament.aspx?IDTournament=h201903131149348698cee6ee4a16a40
,Love the Game,"Feb 16 - 17, 2019","Wilkes-Barre, PA",,Public/Results/Tournament.aspx?IDTournament=h20181115170409666b6e6f14b82e245
,Bring The Heat - Spring Shootout III,"Mar 9 - 10, 2019","Peoria, AZ",,Public/Results/Tournament.aspx?IDTournament=h2018122220402992341fc24f5869a43
,Destin Lacrosse Invitational 2019,"Apr 13 - 14, 2019","Destin, FL",,Public/Results/Tournament.aspx?IDTournament=h201902080145220970cbf59db5b8245
,"Santa Maria, CA","Apr 13, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190213192839304702191656a814c
,East Brainerd Softball Invitational,"Apr 26 - 27, 2019","Chattanooga, TN",,Public/Results/Tournament.aspx?IDTournament=h2019040318324007439e191fc001044
,Rumble in the Dome,"Feb 23, 2019","Wilkes-Barre, PA",,Public/Results/Tournament.aspx?IDTournament=h20181115170612046d09edcf47ca145
,Trips Right 3 on 3  Flag Tourney,"Mar 16 - 17, 2019","Phoenix, AZ",,Public/Results/Tournament.aspx?IDTournament=h20190217182140558c6b987a7245a42
,Carmel Invitational 2019,"Apr 27 - 28, 2019","Carmel, IN",,Public/Results/Tournament.aspx?IDTournament=h20190413213213827dca3c15849aa4a
,"Hollywood, FL","May 5, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201902131631051822a8053c4b14347
,2019 East Ridge Girls  Rec Pre-season Tournament,"Apr 6 - 8, 2019","Ringgold, GA",,Public/Results/Tournament.aspx?IDTournament=h20190226014831877b8734796792d4e
,Strike Out Diabetes,"Mar 2 - 3, 2019","Wilkes-Barre, PA",,Public/Results/Tournament.aspx?IDTournament=h201811151708171256d221fa8e5544d
,Winter League Playoffs 2019,"Feb 22 - Mar 1, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h20190211035011462156b1af1acdf46
,Rip The Duck,"Apr 13 - 14, 2019","South Bend, IN",,Public/Results/Tournament.aspx?IDTournament=h20190329115704322392838a096534c
,"Zephyrhills, FL","May 11, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201902271614462059793bf9944534b
,Adult Softball - Spring 2019,"Apr 8 - Jun 7, 2019","Ringgold, GA",,Public/Results/Tournament.aspx?IDTournament=h201901151533549142c9d6a7afbe34d
,Spring Fever,"Mar 24, 2019","Wilkes-Barre, PA",,Public/Results/Tournament.aspx?IDTournament=h20181115171031059825793a7852e4c
,4 Vert Championship - 2019 High School,"Apr 13, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h20190405194759479e89729a4374e46
,Meet Us in the Middle,"Mar 2, 2019","Brentwood, TN",,Public/Results/Tournament.aspx?IDTournament=h201811072207520710c835fbc513248
,March Friendly FREE,"Mar 16 - 17, 2019","Chattanooga, TN",,Public/Results/Tournament.aspx?IDTournament=h20190311191040593891146ff56fe4d
,Spring Thaw,"Apr 6 - 7, 2019","Allentown, PA",,Public/Results/Tournament.aspx?IDTournament=h20181207201715784d5db45895bc546
,NFA7v7 West Regional,"Apr 6 - 7, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h201901071752079386e604f55096d47
